Start Date,End Date,Total Funding Amount(in USD),HF-Startup name,Highest Funding,Total Deals,Undisclosed Deals,Year
22-03-2020,28-03-2020,5700000,CoinDCX,3000000,8,3,2020
16-03-2020,21-03-2020,960000000,Oyo,807000000,16,1,2020
09-03-2020,14-03-2020,22000000,MultiLiving,6000000,10,2,2020
02-03-2020,07-03-2020,123000000,Spinny,43700000,16,3,2020
24-02-2020,29-02-2020,139000000,Rupeek,30000000,16,5,2020
17-02-2020,22-02-2020,394000000,Swiggy,113000000,20,2,2020
10-02-2020,15-02-2020,148000000,Pepperfry,40000000,20,4,2020
03-02-2020,08-02-2020,287000000,Byju's,200000000,14,2,2020
27-01-2020,01-02-2020,192000000,MoneyTap,70000000,15,2,2020
20-01-2020,25-01-2020,350000000,Bounce,105000000,18,5,2020
13-01-2020,18-01-2020,137000000,Zinier,90000000,18,8,2020
06-01-2020,11-01-2020,564000000,Byju's,200000000,22,7,2020
30-12-2019,04-01-2020,29000000,GoMechanic,14700000,7,1,2020
23-12-2019,28-12-2019,77000000,HomeLane,30000000,10,4,2019
16-12-2019,21-12-2019,381000000, Lenskart,231000000,23,5,2019
09-12-2019,14-12-2019,250000000,HappyEasyGo,49000000,27,4,2019
02-12-2019,07-12-2019,178000000,Cardekho,70000000,12,0,2019
25-11-2019,30-11-2019,1308000000,Paytm,1000000000,15,3,2019
18-11-2019,23-11-2019,146000000,Perfios,50000000,20,6,2019
11-11-2019,16-11-2019,30000000,SimSim,6000000,14,3,2019
04-11-2019,09-11-2019,205000000,Freshworks,150000000,17,3,2019
28-10-2019,02-11-2019,210000000,MX Player,111000000,11,2,2019
21-10-2019,26-10-2019,46000000,Ally,15000000,16,6,2019
14-10-2019,19-10-2019,278000000,Cars24,100000000,20,1,2019
07-10-2019,12-10-2019,62000000,Melorra,12000000,14,5,2019
30-09-2019,05-10-2019,500000000,Udaan,286000000,18,2,2019
23-09-2019,28-09-2019,138000000,Spinny,50000000,23,3,2019
16-09-2019,21-09-2019,248000000,PolicyBazaar,145000000,18,6,2019
09-09-2019,14-09-2019,243000000,Delhivery,115000000,16,8,2019
02-09-2019,07-09-2019,146000000,Cars24,52000000,16,2,2019
26-08-2019,31-08-2019,615000000,Udaan,300000000,15,1,2019
19-08-2019,24-08-2019,219000000,Mpower,100000000,15,3,2019
12-08-2019,17-08-2019,352000000,Meesho,125000000,18,4,2019
05-08-2019,10-08-2019,125000000,GoWork,53000000,11,3,2019
29-07-2019,03-08-2019,325000000,Rebel Foods,125000000,14,1,2019
22-07-2019,27-07-2019,209000000,Zeta,60000000,17,2,2019
15-07-2019,20-07-2019,148000000,Icertis,115000000,14,4,2019
08-07-2019,13-07-2019,340000000,Byju's,150000000,20,4,2019
01-07-2019,06-07-2019,340000000,Ola Electric,250000000,19,4,2019
24-06-2019,29-06-2019,302500000,Cure.Fit,120000000,19,3,2019
17-06-2019,22-06-2019,378770000,Druva,130000000,15,2,2019
10-06-2019,15-06-2019,60000000,Meesho,25000000,11,2,2019
03-06-2019,08-06-2019,111860000,NoBroker,51000000,14,3,2019
27-05-2019,01-06-2019,117740000,Ather Energy,51000000,15,2,2019
20-05-2019,25-05-2019,23370000,Spinny,13200000,7,2,2019
13-05-2019,18-05-2019,205390000,Grofers,200000000,9,3,2019
06-05-2019,11-05-2019,320160000,BigBasket,150000000,20,5,2019
29-04-2019,04-05-2019,338200000,BlackBuck,150000000,19,4,2019
22-04-2019,27-04-2019,208900000,Ninjacart,89500000,12,1,2019
15-04-2019,20-04-2019,18250000,MyHealthcare,3000000,10,2,2019
08-04-2019,13-04-2019,98030000,CleverTap,26000000,17,1,2019
01-04-2019,06-04-2019,369000000,Oyo,200000000,18,3,2019
25-03-2019,30-03-2019,37000000,Furlenco,5840000,11,3,2019
18-03-2019,23-03-2019,479300000,Ola Electric,300000000,13,0,2019
11-03-2019,16-03-2019,354400000,Hotstar,153000000,20,6,2019
04-03-2019,09-03-2019,397900000,Delhivery,350000000,7,2,2019
25-02-2019,02-03-2019,193720000,Ola Electric,56000000,15,7,2019
18-02-2019,23-02-2019,118700000,Ola,92000000,8,1,2019
11-02-2019,16-02-2019,121400000,OYO ,100000000,6,0,2019
04-02-2019,09-02-2019,103870000,Zomato,39740000,12,3,2019
28-01-2019,02-02-2019,26560000,BAC Acquisitions,7000000,19,4,2019
21-01-2019,26-01-2019,202500000,Firstcry,149200000,24,5,2019
14-01-2019,19-01-2019,599730000, DMI Group,230000000,23,6,2019
07-01-2019,12-01-2019,159700000,Ola,74000000,12,3,2019
31-12-2018,05-01-2019,110700000,Cardekho,110000000,4,2,2019
24-12-2018,29-12-2018,50000000,Design Cafe,28500000,9,6,2018
17-12-2018,22-12-2018,1630000000,Swiggy,1000000000,20,5,2018
10-12-2018,15-12-2018,512000000,Byju's,400000000,23,4,2018
03-12-2018,08-12-2018,136000000,Oyo,103000000,14,11,2018
26-11-2018,01-12-2018,78210000,UrbanClap,50000000,15,8,2018
19-11-2018,24-11-2018,103000000,InCred ,41900000,14,12,2018
12-11-2018,17-11-2018,15000000, HealthifyMe ,6000000,11,3,2018
05-11-2018,10-11-2018,66000000,Meesho,50000000,4,4,2018
29-10-2018,03-11-2018,69300000,INDwealth,30000000,14,3,2018
22-10-2018,27-10-2018,67330000, ClearTax,50000000,8,2,2018
15-10-2018,20-10-2018,48000000,Smule,20000000,8,2,2018
08-10-2018,13-10-2018,46800000,BlackBuck,27300000,7,2,2018
01-10-2018,06-10-2018,139000000,Cardekho,75000000,12,1,2018
24-09-2018,29-09-2018,1106300000,Oyo,1000000000,13,2,2018
17-09-2018,22-09-2018,756750000,Flipkart,475750000,17,5,2018
10-09-2018,15-09-2018,58000000,Kissht,30000000,12,3,2018
03-09-2018,08-09-2018,526000000,Udaan,225000000,16,6,2018
27-08-2018,01-09-2018,41200000,Servify,15000000,9,0,2018
20-08-2018,25-08-2018,66700000,Elara Technologies,35000000,13,7,2018
13-08-2018,18-08-2018,109000000,Novi Digital,73800000,11,4,2018
06-08-2018,11-08-2018,184000000,Phonepe,66000000,20,6,2018
30-07-2018,04-08-2018,268990000,Cure.Fit,120000000,17,4,2018
23-07-2018,28-07-2018,152460000,Digit Insurance,44000000,19,2,2018
16-07-2018,21-07-2018,248310000, BookMyShow,100000000,16,5,2018
09-07-2018,14-07-2018,32700000,IndiaLends,10000000,15,5,2018
02-07-2018,07-07-2018,32350000, Phygicart,14500000,10,2,2018
25-06-2018,30-06-2018,255000000,PolicyBazaar,200000000,16,3,2018
18-06-2018,23-06-2018,271000000,Swiggy,210000000,13,2,2018
11-06-2018,16-06-2018,60300000,Aye Finance,21700000,13,3,2018
04-06-2018,09-06-2018,80200000,Avi Networks,60000000,15,6,2018
28-05-2018,02-06-2018,233000000,Pine Labs,125000000,13,0,2018
21-05-2018,26-05-2018,80000000,NewsDog,50000000,14,1,2018
14-05-2018,19-05-2018,60000000,Droom,30000000,7,2,2018
07-05-2018,12-05-2018,53000000,Innovaccer,25000000,13,1,2018
30-04-2018,05-05-2018,61200000, Bizongo (Business On-The-Go),22000000,14,6,2018
23-04-2018,28-04-2018,64200000,Capital Float,22000000,17,3,2018
16-04-2018,21-04-2018,86000000,True Balance  ,23000000,17,3,2018
09-04-2018,14-04-2018,29400000,TravelTriangle,12000000,16,5,2018
02-04-2018,07-04-2018,528000000,Paytm Mall,445000000,19,0,2018
26-03-2018,31-03-2018,100000000,Phonepe,79600000,20,4,2018
19-03-2018,24-03-2018,112000000,Emerald Media,80000000,11,3,2018
12-03-2018,17-03-2018,167400000,Grofers,61600000,13,3,2018
05-03-2018,10-03-2018,72000000, Pepperfry,38500000,19,3,2018
26-02-2018,03-03-2018,394000000, Gaana,115000000,18,3,2018
19-02-2018,24-02-2018,119000000, Udaan,50000000,15,2,2018
12-02-2018,17-02-2018,190000000,Lendingkart,87000000,14,2,2018
05-02-2018,10-02-2018,215000000,Swiggy,100000000,27,8,2018
29-01-2018,03-02-2018,636000000,BigBasket,300000000,19,5,2018
22-01-2018,27-01-2018,76000000,NeoGrowth Credit,47000000,15,2,2018
15-01-2018,20-01-2018,43000000,RazorPay,20000000,13,4,2018
08-01-2018,13-01-2018,27000000,NiYO Solutions,13200000,15,6,2018
01-01-2018,06-01-2018,15700000,Early Salary,15700000,5,4,2018
25-12-2017,30-12-2017,13800000,Specsmakers,10000000,3,0,2017
18-12-2017,23-12-2017,35650000,Spandana Sphoorty,19500000,9,3,2017
11-12-2017,16-12-2017,110020000,MindTickle,27000000,19,3,2017
04-12-2017,09-12-2017,124950000,Greenlight Planet,60000000,11,0,2017
27-11-2017,02-12-2017,291689000,Edelweiss,270000000,8,1,2017
20-11-2017,25-11-2017,240621230,Epiq Capital,200000000,12,3,2017
13-11-2017,18-11-2017,27350000,Universal Sportsbiz Pvt. Ltd,15000000,10,5,2017
06-11-2017,11-11-2017,53072000,Qubole,25000000,14,6,2017
30-10-2017,04-11-2017,51070000,MSE,32000000,10,3,2017
23-10-2017,28-10-2017,37610000,Ola Cabs,7700000,16,4,2017
16-10-2017,21-10-2017,39400000,Renew Buy,9200000,7,1,2017
09-10-2017,14-10-2017,92621000,Policy Bazaar,77000000,14,4,2017
02-10-2017,07-10-2017,182756000,Ola Cabs,110000000,13,3,2017
25-09-2017,30-09-2017,10472000,Synup,6000000,15,8,2017
18-09-2017,23-09-2017,73400000,High Radius,50000000,10,5,2017
11-09-2017,16-09-2017,124700000,Smaaash,44000000,15,4,2017
04-09-2017,09-09-2017,324130000,Oyo,250000000,15,3,2017
28-08-2017,02-09-2017,100550000,Treebo,34000000,9,1,2017
21-08-2017,26-08-2017,107396000,Dhruva,80000000,13,4,2017
14-08-2017,19-08-2017,697000,KNAB Finance,385000,4,2,2017
07-08-2017,12-08-2017,2540346000,Flipkart,2500000000,9,3,2017
31-07-2017,05-08-2017,2950000,TouchKin,1300000,13,9,2017
24-07-2017,29-07-2017,77650000,Byju's,35000000,9,3,2017
17-07-2017,22-07-2017,17500000,Rentomojo,10000000,14,8,2017
10-07-2017,15-07-2017,26454000,Innoviti,18500000,10,4,2017
03-07-2017,08-07-2017,45100000,Droom,20000000,9,3,2017
26-06-2017,01-07-2017,118311000,Flipkart,71000000,14,3,2017
19-06-2017,24-06-2017,72215000,mSwipe,31000000,14,1,2017
12-06-2017,17-06-2017,96476000,Ola,50000000,19,7,2017
05-06-2017,10-06-2017,58582000,Goomo,50000000,17,5,2017
29-05-2017,03-06-2017,97234000,Swiggy,80000000,12,6,2017
22-05-2017,27-05-2017,46680000,Delhivery,30000000,9,3,2017
15-05-2017,20-05-2017,1411550000,Paytm,1400000000,13,5,2017
08-05-2017,13-05-2017,30116000,Shopclues,7700000,22,10,2017
01-05-2017,06-05-2017,201323000,Ola,104500000,14,6,2017
24-04-2017,29-04-2017,302195000,Oyo,250000000,19,7,2017
17-04-2017,22-04-2017,14950000,Lendingkart,4650000,14,4,2017
10-04-2017,15-04-2017,291160000,Ola,260000000,15,4,2017
03-04-2017,08-04-2017,120290000,Healthcare at Home,40000000,22,9,2017
27-03-2017,01-04-2017,50780000,Icertis,25000000,20,9,2017
20-03-2017,25-03-2017,1580543000,Flipkart,1400000000,10,2,2017
13-03-2017,18-03-2017,8100000,LatestOne,3350000,8,3,2017
06-03-2017,11-03-2017,50083000,Rivigo,15000000,18,3,2017
27-02-2017,04-03-2017,650044000,Ola,330000000,21,7,2017
20-02-2017,25-02-2017,54840000,Flipkart,38700000,6,2,2017
13-02-2017,18-02-2017,83960000,CCAvenue,22400000,21,4,2017
06-02-2017,11-02-2017,84690000,Cartrade,55000000,14,4,2017
30-01-2017,04-02-2017,2214500,Heads Up For Tails,2000000,9,4,2017
23-01-2017,28-01-2017,46250000,CueMath,15000000,18,8,2017
16-01-2017,21-01-2017,66538000,Practo,55000000,22,11,2017
09-01-2017,14-01-2017,67040000,TicketNew,35000000,15,4,2017
02-01-2017,07-01-2017,71191000,FreeCharge,57000000,10,6,2017
26-12-2016,31-12-2016,17200000,Shadowfox,10000000,10,6,2016
19-12-2016,24-12-2016,25736000,Byju's,15000000,18,10,2016
12-12-2016,17-12-2016,107970000,Amagi Media Labs,35000000,20,5,2016
05-12-2016,10-12-2016,24437000,Revv,9000000,18,9,2016
28-11-2016,03-12-2016,23071000,India Lends,4000000,21,3,2016
21-11-2016,26-11-2016,45634000,Knowlarity,20000000,20,10,2016
14-11-2016,19-11-2016,34647000,Koovs,13500000,14,6,2016
07-11-2016,12-11-2016,93000000,Rivigo,75000000,8,3,2016
31-10-2016,05-11-2016,77295000,FreshDesk,55000000,17,6,2016
24-10-2016,29-10-2016,48071000,Ather Energy,27000000,18,5,2016
17-10-2016,22-10-2016,51100000,Furlenco,30000000,16,8,2016
10-10-2016,15-10-2016,92577000,Yupp TV,50000000,17,6,2016
03-10-2016,08-10-2016,43950000,Flexiloans,15000000,27,11,2016
26-09-2016,01-10-2016,75760000,Druva,51000000,14,6,2016
19-09-2016,24-09-2016,63368000,Pepperfry,31300000,20,8,2016
12-09-2016,17-09-2016,26498000,Nykaa,12300000,16,5,2016
05-09-2016,10-09-2016,69035000,Byju's,50000000,19,7,2016
29-08-2016,03-09-2016,103253000,Paytm,60000000,17,6,2016
22-08-2016,27-08-2016,111350000,Mobikwik,40000000,25,11,2016
15-08-2016,20-08-2016,260675000,Hike,175000000,17,8,2016
08-08-2016,13-08-2016,43094000,Innovaccer,15600000,17,5,2016
01-08-2016,06-08-2016,69000000,Ola,50000000,14,4,2016
25-07-2016,30-07-2016,22417000,HealthKart,12000000,15,4,2016
18-07-2016,23-07-2016,60740000,BlueStone,30000000,16,5,2016
11-07-2016,16-07-2016,47470000,SirionLabs,12250000,25,11,2016
04-07-2016,09-07-2016,124137000,BookMyShow,82000000,18,5,2016
27-06-2016,02-07-2016,73333000,Lendingkart,32000000,23,8,2016
20-06-2016,25-06-2016,20483000,Schedulers Logistics,6000000,23,10,2016
13-06-2016,18-06-2016,52030000,Voonik,20000000,22,10,2016
06-06-2016,11-06-2016,50948000,HelpShift,23000000,25,12,2016
30-05-2016,04-06-2016,17750000,CCAvenue,8900000,17,9,2016
23-05-2016,28-05-2016,5164000,ClearTax,2000000,12,6,2016
16-05-2016,21-05-2016,14650000,EduPristine,10000000,16,7,2016
09-05-2016,14-05-2016,179700000,Fractal Analytics,100000000,20,5,2016
02-05-2016,07-05-2016,126651000,LensKart,60000000,24,7,2016
25-04-2016,30-04-2016,35400000,Transerv,15000000,15,4,2016
18-04-2016,23-04-2016,32400000,1mg,15000000,24,17,2016
11-04-2016,16-04-2016,149900000,Oyo,100000000,22,9,2016
04-04-2016,09-04-2016,33540000,Hungama,25000000,15,9,2016
28-03-2016,02-04-2016,9100000,Veritas Finance,4700000,13,6,2016
21-03-2016,26-03-2016,229340000,BigBasket,150000000,17,7,2016
14-03-2016,19-03-2016,19821608,TruckingCube,14900000,16,3,2016
07-03-2016,12-03-2016,45250000,Icertis,15000000,24,9,2016
29-02-2016,05-03-2016,21750000,Hopscotch,13000000,21,12,2016
22-02-2016,27-02-2016,43862000,CupoNation,11000000,21,6,2016
15-02-2016,20-02-2016,233293000,Snapdeal,200000000,31,15,2016
08-02-2016,13-02-2016,20375000,Xpressbees,12500000,23,13,2016
01-02-2016,06-02-2016,20983000,ZenDrive,13500000,22,7,2016
25-01-2016,30-01-2016,51115000,Power2SME,21000000,22,11,2016
18-01-2016,23-01-2016,170800000,Swiggy,35000000,30,11,2016
11-01-2016,16-01-2016,275510000,Cartrade,145000000,25,13,2016
04-01-2016,09-01-2016,202455000,MakeMyTrip,180000000,25,10,2016
