Name,Profile URL,Signal,Location,Market,Website,Employees,Stage,Total Raised,Joining_Month,Joining_Year,latitude,longitude,date_today,Age,Country
Crowdbooster,https://angel.co/company/crowdbooster,5,San Francisco,Public Relations,http://www.crowdbooster.com/,1-10,Seed,,Nov ,01/01/2010,37.7792808,-122.4192363,03/01/2021,11,United States of America
Samba TV,https://angel.co/company/samba-tv,5,San Francisco,Big Data,http://www.samba.tv,201-500,Series A,8000000,Dec ,01/01/2010,37.7792808,-122.4192363,03/01/2021,11,United States of America
Charity Engine,https://angel.co/company/charity-engine,5,Boston,Big Data Analytics,http://www.charityengine.com,1-10,,312000,Oct ,01/01/2010,42.3602534,-71.0582912,03/01/2021,11,United States of America
Vufind (DBA DeepVu),https://angel.co/company/vufind-1,5,Berkeley,Enterprise Resource Planning,http://deepvu.co,11-50,,,Jul ,01/01/2010,37.8708393,-122.2728639,03/01/2021,11,United States of America
Clearfit,https://angel.co/company/clearfit,5,Toronto,Human Resources,http://clearfit.com,11-50,Series A,8700000,Sep ,01/01/2011,43.653963,-79.387207,03/01/2021,10,Canada
Kimera Systems,https://angel.co/company/kimera-systems,3,Portland,Internet of Things,http://www.kimerasystems.com,1-10,,100000,Dec ,01/01/2011,45.5202471,-122.6741949,03/01/2021,10,United States of America
Tala ,https://angel.co/company/talamobile,5,Nairobi,Personal Finance,http://tala.co,201-500,Series C,107400000,Sep ,01/01/2011,-1.2832533,36.8172449,03/01/2021,10,Kenya
Pick1,https://angel.co/company/pick1,5,Rome,Market Research,http://www.pick1.com,11-50,Acquired,1650000,Feb ,01/01/2011,41.894802,12.4853384,03/01/2021,10,Italy
Desti,https://angel.co/company/desti,5,Palo Alto,Mobile Commerce,http://desti.com,1-10,Acquired,3550000,Oct ,01/01/2011,37.4443293,-122.1598465,03/01/2021,10,United States of America
Converge,https://angel.co/company/perfectpost,5,Atlanta,Marketing,http://ConvergeHQ.com,1-10,Seed,350000,Feb ,01/01/2011,33.7490987,-84.3901849,03/01/2021,10,United States of America
Scalable Informatics,https://angel.co/company/scalable-informatics,3,Ann Arbor,Big Data,http://scalableinformatics.com,11-50,Seed,,May ,01/01/2011,40.7127281,-74.0060152,03/01/2021,10,United States of America
Mendeley,https://angel.co/company/mendeley,5,London,Application Platforms,http://www.mendeley.com,51-200,Acquired,2125000,Mar ,01/01/2011,51.5073219,-0.1276474,03/01/2021,10,England
Seevibes,https://angel.co/company/seevibes,5,Paris,Advertising Platforms,http://seevibes.com,11-50,Acquired,960000,Apr ,01/01/2011,48.8566101,2.3514992,03/01/2021,10,France
Booly,https://angel.co/company/booly,4,United Kingdom,Retail Technology,http://boo.ly,,,,May ,01/01/2011,54.7023545,-3.2765753,03/01/2021,10,England
Anetwork,https://angel.co/company/anetwork,3,Iran,Advertising Exchanges,https://anetwork.ir,11-50,Acquired,,Mar ,01/01/2011,32.9407495,52.9471344,03/01/2021,10,Iran
Catch5,https://angel.co/company/catch5,4,Las Vegas,Fraud Detection,http://www.catch5.com,1-10,Acquired,,Jun ,01/01/2011,36.1662859,-115.149225,03/01/2021,10,United States of America
Kwelia,https://angel.co/company/kwelia,5,Austin,Optimization,http://www.kwelia.com,1-10,,150000,Dec ,01/01/2011,30.2711286,-97.7436995,03/01/2021,10,United States of America
In Loco Media,https://angel.co/company/in-loco-media,3,São Paulo,Mobile Advertising,http://www.inlocomedia.com/,11-50,Series A,,Dec ,01/01/2011,-23.5506507,-46.6333824,03/01/2021,10,Brazil
Vidado,https://angel.co/company/vidado,5,Oakland,Artificial Intelligence,http://vidado.ai,11-50,Series C,47400000,Feb ,01/01/2011,37.8044557,-122.2713563,03/01/2021,10,United States of America
AfterCollege,https://angel.co/company/aftercollege,5,San Francisco,College Recruiting,http://www.aftercollege.com/,11-50,Series A,,Mar ,01/01/2011,37.7792808,-122.4192363,03/01/2021,10,United States of America
angelcam,https://angel.co/company/angelcam,5,Las Vegas,Internet of Things,http://www.angelcam.com,11-50,,144600,May ,01/01/2012,36.1662859,-115.149225,03/01/2021,9,United States of America
Deeplink,https://angel.co/company/deeplink,5,New York City,Web Tools,http://www.deeplink.me,1-10,Seed,1350000,Jul ,01/01/2012,40.7127281,-74.0060152,03/01/2021,9,United States of America
WeDidIt ,https://angel.co/company/wedidit,5,New York City,Nonprofits,http://wedid.it,11-50,Seed,1600000,Jul ,01/01/2012,40.7127281,-74.0060152,03/01/2021,9,United States of America
Pigeonly,https://angel.co/company/pigeonly,5,Las Vegas,Photo Sharing,http://pigeon.ly/,1-10,Seed,1000000,Dec ,01/01/2012,36.1662859,-115.149225,03/01/2021,9,United States of America
Imagga,https://angel.co/company/imagga,4,Sofia,Visual Search,http://www.imagga.com,1-10,Seed,310000,Mar ,01/01/2012,42.6978634,23.3221789,03/01/2021,9,Bulgaria
After School,https://angel.co/company/afterschool,5,San Francisco,Location Based Services,http://afterschoolapp.com,51-200,Series A,17400000,Aug ,01/01/2012,37.7792808,-122.4192363,03/01/2021,9,United States of America
DotProduct,https://angel.co/company/dotproduct,4,Houston,Augmented Reality,http://www.DotProduct3D.com,1-10,Seed,,Nov ,01/01/2012,29.7589382,-95.3676974,03/01/2021,9,United States of America
Tipsi,https://angel.co/company/tipsi,5,New York City,Location Based Services,http://www.gettipsi.com,1-10,Seed,250000,Nov ,01/01/2012,40.7127281,-74.0060152,03/01/2021,9,United States of America
ROSTR,https://angel.co/company/rostr-2,4,Jacksonville,Technology,http://www.rostr.co,1-10,Seed,50000,Dec ,01/01/2012,30.3321838,-81.655651,03/01/2021,9,United States of America
Choozle,https://angel.co/company/choozle,5,Denver,Big Data,http://www.choozle.com,11-50,Series A,9892500,Jun ,01/01/2012,39.7392364,-104.9848623,03/01/2021,9,United States of America
Clear Guide Medical,https://angel.co/company/clear-guide-medical,4,Baltimore,Medical Devices,http://www.clearguidemedical.com,1-10,Series A,1500000,Aug ,01/01/2012,39.2908816,-76.610759,03/01/2021,9,United States of America
Modizy,https://angel.co/company/modizy,3,Paris,SaaS,http://www.modizy.com,1-10,,275000,May ,01/01/2012,48.8566101,2.3514992,03/01/2021,9,France
Pulse Wall,https://angel.co/company/pulse-wall-1,3,Zagreb,Consumers,http://www.walloftweets.net,11-50,Seed,75000,May ,01/01/2012,45.813177,15.977048,03/01/2021,9,Croatia
Smartsy,https://angel.co/company/smartsy,5,San Francisco,Mobile Commerce,http://smartsy.co,1-10,Seed,400000,Aug ,01/01/2012,37.7792808,-122.4192363,03/01/2021,9,United States of America
SQream Technologies,https://angel.co/company/sqream-technologies,4,Israel,Databases,http://www.sqreamtech.com/,11-50,Series B,33400000,Feb ,01/01/2012,30.8760272,35.0015196,03/01/2021,9,Israel
Graph Commons,https://angel.co/company/graph-commons,3,New York City,Data Visualization,https://graphcommons.com,1-10,,,Apr ,01/01/2012,40.7127281,-74.0060152,03/01/2021,9,United States of America
Hashdoc,https://angel.co/company/hashdoc,5,"Jordan, JO",Consulting,http://www.hashdoc.com,1-10,Seed,475000,Dec ,01/01/2012,31.1667049,36.941628,03/01/2021,9,Jordan
Tailwind,https://angel.co/company/tailwind,5,Oklahoma City,Social Media Platforms,http://tailwindapp.com,11-50,Seed,1000000,May ,01/01/2012,35.4729886,-97.5170536,03/01/2021,9,United States of America
Breezedocs,https://angel.co/company/breezedocs,5,Melbourne,Document Management,http://www.breezedocs.com,1-10,Seed,150000,Jun ,01/01/2012,-37.8142176,144.9631608,03/01/2021,9,Australia
SpeechTrans,https://angel.co/company/speechtrans-1,5,Lyndhurst,SaaS,http://www.speechtrans.com,11-50,,320000,Mar ,01/01/2012,40.8120247,-74.1242816,03/01/2021,9,United States of America
BovControl,https://angel.co/company/bovcontrol,4,Redwood City,Internet of Things,http://www.bovcontrol.com,11-50,,3500000,Dec ,01/01/2012,37.4863239,-122.2325233,03/01/2021,9,United States of America
VOIQ,https://angel.co/company/voiq,5,San Francisco,B2B,http://www.voiq.com,11-50,Seed,2600000,Apr ,01/01/2012,37.7792808,-122.4192363,03/01/2021,9,United States of America
Apozy,https://angel.co/company/apozy,5,San Francisco,Enterprise Security,https://www.apozy.com,1-10,Seed,1400000,Dec ,01/01/2012,37.7792808,-122.4192363,03/01/2021,9,United States of America
Speak With Me,https://angel.co/company/speak-with-me,5,Mountain View,Speech Recognition,http://www.speakwithme.com,1-10,Seed,2400000,Apr ,01/01/2012,37.3893889,-122.0832101,03/01/2021,9,United States of America
Meshfire,https://angel.co/company/meshfire-1,4,Seattle,Social Media Marketing,http://www.meshfire.com,1-10,Seed,260000,Oct ,01/01/2012,47.6038321,-122.3300624,03/01/2021,9,United States of America
Zillabyte,https://angel.co/company/zillabyte,5,San Francisco,B2B,http://zillabyte.com,1-10,Seed,,Apr ,01/01/2012,37.7792808,-122.4192363,03/01/2021,9,United States of America
SAEX,https://angel.co/company/saex,4,Sunnyvale,Lead Generation,http://www.saex.co/,11-50,,,Apr ,01/01/2012,37.3688301,-122.0363496,03/01/2021,9,United States of America
ZoeMob,https://angel.co/company/zoemob,5,San Francisco,Location Based Services,https://www.zoemob.com,1-10,Seed,800000,Apr ,01/01/2012,37.7792808,-122.4192363,03/01/2021,9,United States of America
MyFitnessPal,https://angel.co/company/myfitnesspal,5,San Francisco,Fitness,http://www.myfitnesspal.com,51-200,Acquired,18000000,Apr ,01/01/2012,37.7792808,-122.4192363,03/01/2021,9,United States of America
Viralheat,https://angel.co/company/viralheat,5,San Mateo,Social Media Marketing,http://www.viralheat.com/,11-50,Acquired,4250000,Jul ,01/01/2012,37.496904,-122.3330573,03/01/2021,9,United States of America
Ditto,https://angel.co/company/ditto,5,Cambridge,Photo Sharing,http://dittolabs.io,11-50,Series C,6900000,Aug ,01/01/2012,52.2034823,0.1235817,03/01/2021,9,England
F16Apps,https://angel.co/company/f16apps,3,Cairo Governorate,RIM,http://www.f16apps.com,1-10,Series A,,Jul ,01/01/2012,30.03496615,31.56346712,03/01/2021,9,Egypt
MobStac,https://angel.co/company/mobstac,5,New York City,Proximity Services,http://mobstac.com,11-50,Series B,2000000,Oct ,01/01/2012,40.7127281,-74.0060152,03/01/2021,9,United States of America
Venddo,https://angel.co/company/venddo,3,Mexico City,Sales Automation,http://www.venddo.com,1-10,Seed,250000,May ,01/01/2012,19.4326009,-99.1333416,03/01/2021,9,Mexico
Powerhive,https://angel.co/company/powerhive,3,Berkeley,,http://www.powerhive.com,11-50,Series A,20000000,Feb ,01/01/2012,37.8708393,-122.2728639,03/01/2021,9,United States of America
Jampp,https://angel.co/company/jampp,4,Buenos Aires,Mobile Commerce,http://www.jampp.com,51-200,Series A,7000000,Mar ,01/01/2012,-34.6075616,-58.437076,03/01/2021,9,Argentina
Frissbi,https://angel.co/company/frissbi,3,Hyderabad,Big Data,http://www.frissbi.com/,1-10,Series A,190000,Sep ,01/01/2012,17.38878595,78.46106473,03/01/2021,9,India
Advsor ,https://angel.co/company/advsor,5,San Francisco,Business Services,http://www.advsor.com,1-10,,,Jan ,01/01/2012,37.7792808,-122.4192363,03/01/2021,9,United States of America
BitGym,https://angel.co/company/bitgym,5,San Francisco Bay Area,Fitness,http://www.bitgym.com,1-10,Seed,,Aug ,01/01/2012,37.7884969,-122.3558473,03/01/2021,9,United States of America
Skimbox,https://angel.co/company/skimbox,3,Boston,Email,http://skimbox.co,11-50,,,May ,01/01/2012,42.3602534,-71.0582912,03/01/2021,9,United States of America
Floored,https://angel.co/company/floored,5,New York City,Graphics,http://www.floored.com,11-50,Acquired,6300000,Aug ,01/01/2012,40.7127281,-74.0060152,03/01/2021,9,United States of America
The Eye Tribe,https://angel.co/company/the-eye-tribe,5,Palo Alto,Computer Vision,http://theeyetribe.com,11-50,Acquired,4100000,Aug ,01/01/2012,37.4443293,-122.1598465,03/01/2021,9,United States of America
Gazemetrix,https://angel.co/company/gazemetrix,5,Mountain View,Brand Marketing,https://www.gazeMetrix.com,1-10,Acquired,140000,Jan ,01/01/2012,37.3893889,-122.0832101,03/01/2021,9,United States of America
Indee,https://angel.co/company/indee-1,3,Los Angeles,Film,http://indee.tv,1-10,,,Apr ,01/01/2012,34.0536909,-118.2427666,03/01/2021,9,United States of America
Skive it,https://angel.co/company/skive-it,4,San Francisco,Robotics,https://skive.it,1-10,,,Oct ,01/01/2012,37.7792808,-122.4192363,03/01/2021,9,United States of America
Qbaka,https://angel.co/company/qbaka,4,Saint Petersburg,B2B,http://vision.qbaka.com/,1-10,Seed,245000,Nov ,01/01/2012,59.938732,30.316229,03/01/2021,9,Russia
HIFI,https://angel.co/company/hifi,5,New York City,Finance Technology,https://hi.fi,11-50,,,Jan ,01/01/2012,40.7127281,-74.0060152,03/01/2021,9,United States of America
Adzuna,https://angel.co/company/adzuna,5,London,Recruiting,http://www.adzuna.co.uk,51-200,Series C,10500000,Aug ,01/01/2012,51.5073219,-0.1276474,03/01/2021,9,England
BeautyArmy,https://angel.co/company/attribuy,5,San Francisco,Personalization,http://www.beautyarmy.com,1-10,,,Oct ,01/01/2012,37.7792808,-122.4192363,03/01/2021,9,United States of America
Kreditech,https://angel.co/company/kreditech,5,Hamburg,Technology,http://www.kreditech.com,51-200,,583900000,Nov ,01/01/2012,53.550341,10.000654,03/01/2021,9,Germany
Handle My Health,https://angel.co/company/handle-my-health,4,London,Internet of Things,http://www.handlemyhealth.com,1-10,Acquired,74038082,Jun ,01/01/2012,51.5073219,-0.1276474,03/01/2021,9,England
Dsmart Industries,https://angel.co/company/dsmart-industries,3,Memphis,Retail Technology,http://www.dsmartinc.com,11-50,,4000000,Apr ,01/01/2012,35.1490215,-90.0516285,03/01/2021,9,United States of America
Zaya Learning Labs,https://angel.co/company/zaya-learning-labs,4,Mumbai,K-12 Education,http://www.zaya.in,11-50,,600000,Apr ,01/01/2012,18.9387711,72.8353355,03/01/2021,9,India
Enertiv,https://angel.co/company/enertiv,5,New York City,Big Data Analytics,https://www.enertiv.com,11-50,,4290000,Dec ,01/01/2012,40.7127281,-74.0060152,03/01/2021,9,United States of America
TripleLift,https://angel.co/company/triplelift,5,London,Native Advertising,http://triplelift.com,51-200,Series B,16625000,Apr ,01/01/2012,51.5073219,-0.1276474,03/01/2021,9,England
Perzo,https://angel.co/company/perzo-4,5,Palo Alto,Unifed Communications,http://perzo.com,1-10,Acquired,,Sep ,01/01/2012,37.4443293,-122.1598465,03/01/2021,9,United States of America
Atooma,https://angel.co/company/atooma,5,Rome,Application Platforms,http://www.atooma.com,1-10,,,Jun ,01/01/2012,41.894802,12.4853384,03/01/2021,9,Italy
Connectifier,https://angel.co/company/connectifier,5,Sunnyvale,Semantic Search,https://www.connectifier.com/about,11-50,Acquired,13600000,Dec ,01/01/2012,37.3688301,-122.0363496,03/01/2021,9,United States of America
Mavrx,https://angel.co/company/mavrx,5,San Francisco,Agriculture,http://www.mavrx.co,11-50,Series A,22420000,Dec ,01/01/2012,37.7792808,-122.4192363,03/01/2021,9,United States of America
MindMeld,https://angel.co/company/mindmeld,5,San Francisco,Artificial Intelligence,http://www.mindmeld.com/,11-50,Acquired,15400000,Oct ,01/01/2012,37.7792808,-122.4192363,03/01/2021,9,United States of America
Biomech,https://angel.co/company/biomech,3,Campbell,Fitness,http://streetworkoutapp.com,1-10,Seed,100000,Sep ,01/01/2012,,,03/01/2021,9,0
720°,https://angel.co/company/720-1,3,Helsinki,Corporate Wellness,http://www.720.fi,1-10,,,Aug ,01/01/2013,60.1674086,24.9425683,03/01/2021,8,Finland
Watchsend,https://angel.co/company/watchsend,5,Mountain View,User Testing,http://www.watchsend.com,1-10,Acquired,,Aug ,01/01/2013,37.3893889,-122.0832101,03/01/2021,8,United States of America
tarla.io,https://angel.co/company/tarlaio,3,Tallinn,Insurance,http://www.tarla.io,1-10,,,Nov ,01/01/2013,59.4372155,24.7453688,03/01/2021,8,Estonia
Science Lab,https://angel.co/company/science-lab,3,Cheltenham,Medical Devices,http://ie.linkedin.com/in/nicholasmcnulty/,1-10,,,Jul ,01/01/2013,51.8995685,-2.0711559,03/01/2021,8,England
DDStocks,https://angel.co/company/ddstocks,3,Montreal,Personal Finance,http://www.ddstocks.com,1-10,,12000,Nov ,01/01/2013,45.4972159,-73.6103642,03/01/2021,8,Canada
Retention.ai (Formerly BetaGlide),https://angel.co/company/retention-ai-formerly-betaglide,5,Palo Alto,Android,http://www.retention.ai,11-50,Acquired,,Sep ,01/01/2013,37.4443293,-122.1598465,03/01/2021,8,United States of America
KinectHealth,https://angel.co/company/kinecthealth,3,Blacksburg,Fitness,http://fit.net,1-10,Seed,18500,Apr ,01/01/2013,37.2296566,-80.4136767,03/01/2021,8,United States of America
Prepify,https://angel.co/company/prepify,5,Austin,Test Prep,http://prepify.me,1-10,Seed,40000,Oct ,01/01/2013,30.2711286,-97.7436995,03/01/2021,8,United States of America
ViSSee,https://angel.co/company/vissee,3,Zurich,3D,http://viss.ee,11-50,Seed,1100000,Aug ,01/01/2013,47.3723941,8.5423328,03/01/2021,8,Switzerland
Angelfish,https://angel.co/company/angelfish,4,,Advertising Exchanges,http://www.angelfish.io,11-50,Seed,500000,Apr ,01/01/2013,34.220389,70.3800314,03/01/2021,8,Afghanistan
Triggerfox,https://angel.co/company/triggerfox,5,Toronto,Contact Management,http://www.influitive.com,11-50,Acquired,2600000,Dec ,01/01/2013,43.653963,-79.387207,03/01/2021,8,Canada
Senndex,https://angel.co/company/senndex,4,Atlanta,Insurance,http://www.Senndex.com,1-10,Seed,70000,Feb ,01/01/2013,33.7490987,-84.3901849,03/01/2021,8,United States of America
Husky Code,https://angel.co/company/husky-code,1,Samara,Manufacturing,http://husky-code.com,1-10,,,Nov ,01/01/2013,53.198627,50.113987,03/01/2021,8,Russia
Human API,https://angel.co/company/humanapi,5,San Mateo,Developer Tools,http://humanapi.co,11-50,,,May ,01/01/2013,37.496904,-122.3330573,03/01/2021,8,United States of America
Tracegolf,https://angel.co/company/tracegolf,4,,Entertainment Industry,http://tracegolf.com,11-50,Seed,500000,Feb ,01/01/2013,34.220389,70.3800314,03/01/2021,8,Afghanistan
Mnemon.io,https://angel.co/company/mnemon-io,3,San Francisco,Semantic Search,http://www.mnemon.io,1-10,,,Oct ,01/01/2013,37.7792808,-122.4192363,03/01/2021,8,United States of America
Dwellar,https://angel.co/company/dwellar,3,Mumbai,Commercial Real Estate,http://www.dwellar.com,11-50,,,Apr ,01/01/2013,18.9387711,72.8353355,03/01/2021,8,India
Jenu.in,https://angel.co/company/jenu-in,3,Fremont,High Tech,http://jenu.in,1-10,,,Nov ,01/01/2013,37.5482697,-121.9885719,03/01/2021,8,United States of America
Keen Home,https://angel.co/company/keen-home,5,New York City,Energy Efficiency,http://www.keenhome.io,11-50,,1640000,Oct ,01/01/2013,40.7127281,-74.0060152,03/01/2021,8,United States of America
Brewbot,https://angel.co/company/brewbot,5,Belfast,Consumer Electronics,http://www.brewbot.io,11-50,,1500000,Nov ,01/01/2013,40.7127281,-74.0060152,03/01/2021,8,United States of America
HunterCo,https://angel.co/company/hunterco,3,Joinville,Social Recruiting,http://www.hunterco.com.br,1-10,,,Aug ,01/01/2013,-26.3044898,-48.8486726,03/01/2021,8,Brazil
GMDH Shell,https://angel.co/company/gmdh-shell,3,,Enterprise Resource Planning,http://www.gmdhshell.com,1-10,,,Jun ,01/01/2013,34.220389,70.3800314,03/01/2021,8,Afghanistan
Butterfleye,https://angel.co/company/butterfleye,5,San Mateo,Consumer Electronics,http://www.GetButterfleye.com,11-50,Acquired,,Dec ,01/01/2013,37.496904,-122.3330573,03/01/2021,8,United States of America
Placemeter,https://angel.co/company/placemeter,5,New York City,Real Time,http://www.placemeter.com,11-50,Acquired,7843000,Jun ,01/01/2013,40.7127281,-74.0060152,03/01/2021,8,United States of America
WIREWAX,https://angel.co/company/wirewax,5,London,Computer Vision,http://www.wirewax.com,11-50,Series A,,Sep ,01/01/2013,51.5073219,-0.1276474,03/01/2021,8,England
TermScout,https://angel.co/company/termscout,4,Boulder,Sales Automation,http://www.termscout.com,11-50,Series A,3800000,Dec ,01/01/2013,40.0149856,-105.2705456,03/01/2021,8,United States of America
SKULLY,https://angel.co/company/skully,5,San Francisco,Augmented Reality,http://www.skully.com,11-50,Series A,11000000,Apr ,01/01/2013,37.7792808,-122.4192363,03/01/2021,8,United States of America
Keepy,https://angel.co/company/keepy,5,San Francisco,Families,http://www.keepy.me,1-10,Seed,1100000,Feb ,01/01/2013,37.7792808,-122.4192363,03/01/2021,8,United States of America
Sonation,https://angel.co/company/sonation,5,Boston,Music,http://www.sonation.net,1-10,Acquired,,Sep ,01/01/2013,42.3602534,-71.0582912,03/01/2021,8,United States of America
Synetiq,https://angel.co/company/synetiq,5,Budapest,Neuroscience,http://synetiq.net,1-10,Seed,,Aug ,01/01/2013,47.4983815,19.0404707,03/01/2021,8,Hungary
Sphere,https://angel.co/company/sphere-1,5,San Francisco,Social Media Platforms,http://www.thesphere.com,1-10,Seed,2250000,Jul ,01/01/2013,37.7792808,-122.4192363,03/01/2021,8,United States of America
RADAR,https://angel.co/company/radar,5,San Diego,Retail Technology,https://goradar.com/,11-50,Seed,21830000,Sep ,01/01/2013,32.7174209,-117.1627714,03/01/2021,8,United States of America
Fitho,https://angel.co/company/fitho,3,Delhi,Fitness,http://www.fitho.in,11-50,Acquired,,May ,01/01/2013,28.6517178,77.2219388,03/01/2021,8,India
Fit3D,https://angel.co/company/fit3d,5,San Mateo,Fitness,http://www.fit3d.com,11-50,Seed,5390000,Feb ,01/01/2013,37.496904,-122.3330573,03/01/2021,8,United States of America
Spire Health,https://angel.co/company/spirehealth,5,San Francisco,Medical Devices,https://spirehealth.com,11-50,,9500000,Mar ,01/01/2013,37.7792808,-122.4192363,03/01/2021,8,United States of America
Lumific,https://angel.co/company/lumific,5,Sydney,Photo Sharing,https://www.lumific.com,1-10,Acquired,250000,Nov ,01/01/2013,-33.8548157,151.2164539,03/01/2021,8,Australia
Ecovent Systems ,https://angel.co/company/ecovent,5,Boston,Internet of Things,http://www.ecoventsystems.com,11-50,Series A,9705000,Nov ,01/01/2013,42.3602534,-71.0582912,03/01/2021,8,United States of America
Cienaga Systems,https://angel.co/company/cienaga-systems-inc,4,,Predictive Analytics,http://www.cienagasystems.net,1-10,Seed,120000,Oct ,01/01/2013,34.220389,70.3800314,03/01/2021,8,Afghanistan
Reveel Technologies,https://angel.co/company/reveel,4,San Francisco,Retail Technology,http://web.reveel.it,11-50,Seed,2220000,Oct ,01/01/2013,37.7792808,-122.4192363,03/01/2021,8,United States of America
ViClone,https://angel.co/company/viclone,3,Barcelona,B2B,http://www.viclone.com,11-50,Seed,1470000,Jul ,01/01/2013,41.3828939,2.1774322,03/01/2021,8,Spain
