Full Name,Primary Company,Seed Valuation,A Valuation,B Valuation,Valuation Increase
Andrew Blackmon,The Black Tux,0,0,0,0
Ian Collins,CrowdCare,0,0,0,0
Dedi Gilad,TytoCare,0,0,0,0
Avner Mor,Dyadic Security,0,0,0,0
Gregg Freishtat,SalesWise,0,0,0,0
Andrew Laffoon,Mixbook,0,0,0,0
Alfred Chuang,Magnet Systems Inc.,0,0,0,0
James Borow,SHIFT,0,0,0,0
Matias Recchia,IguanaFix,0,0,0,0
Mike Harris,Zonoff,0,0,0,0
Oskar Hjertonsson,Needish,0,0,0,0
Marc Fenigstein,Alta Motors,0,0,0,0
Shaun Ritchie,Teem,0,0,0,0
Chris M√∂ller,Campanda,0,0,0,0
David Vinca,eSpark,0,0,0,0
James Sider,Bandpage,0,0,0,0
Michael Paolucci,Slooh,0,0,0,0
Daniel Rothman,GlassesUSA,0,0,0,0
Joshua Feast,Cogito Corporation,0,0,0,0
Neil Warren,eHarmony,0,0,0,0
Philippe Corrot,Mirakl,0,0,0,0
Steven Lam,GOGOVAN,0,0,0,0
David Friedman,Ayla Networks,0,0,0,0
Daniel Roth,Semantic Machines,0,0,0,0
Noah Ready-Campbell,Twice,0,0,0,0
Shmulik Grizim,Webydo.,0,0,0,0
Dinesh Agarwal,IndiaMART,0,0,0,0
Pablo Casarino,Quasar Builders,0,0,0,0
Mihael Mikek,Celtra Inc.,0,0,0,0
Basil Enan,"Discors, Inc.",0,0,0,0
Ran Makavy,Snaptu,0,0,0,0
Eugene Danilkis,Mambu,0,0,0,0
McKay Thomas,"First Opinion, Inc.",0,0,0,0
Opher Kahane,Origami Logic,0,0,0,0
Xu Zou,ZingBox,0,0,0,0
Yoshinari Yoshikawa,Miselu Inc.,0,0,0,0
Zack Rosen,Pantheon,0,0,0,0
Ali Servet Ey√ºboƒ?lu,English Ninjas,0,0,0,0
Amar Arsikere,Infoworks,0,0,0,0
Barbaros √?zbugutu,iyzico,0,0,0,0
Devkumar Gandhi,moBack,0,0,0,0
Mike Cook,XOR Data Exchange,0,0,0,0
Hironobu Yoshikawa,Treasure Data,0,0,0,0
Gilles RAYMOND,News Republic,0,0,0,0
Doron Gordon,Samanage,0,0,0,0
Sravish Sridhar,Kinvey,0,0,0,0
James Gwertzman,"PlayFab, Inc.",0,0,0,0
Vince Passione,"LendKey Technologies, Inc.",0,0,0,0
Jianzhang Liang,Ctrip,0,0,0,0
Richard Price,Academia.edu,0,0,0,0
Angelique Augereau,Zafu,0,0,0,0
Nisan Gabbay,Sociable Labs,0,0,0,0
Carlin Wiegner,CubeTree,0,0,0,0
Ken Tamagawa,SORACOM,0,0,0,0
Nick Drandakis,TaxiBeat,0,0,0,0
Inder Guglani,Guru,0,0,0,0
Scott Saunders,Payoff,0,0,0,0
Jason Kassin,FilmTrack,0,0,0,0
Julia Bijaoui,Frichti,0,0,0,0
Ola Sars,Soundtrack Your Brand,0,0,0,0
Gerald Heydenreich,Pippa Jean,0,0,0,0
Jon Radoff,Disruptor Beam,0,0,0,0
Frank Huerta,TransLattice,0,0,0,0
Sheeroy D. Desai,Gild,0,0,0,0
Eric Cheng,Carsome,0,0,0,0
Spencer Hutchins,Reflexion Health,0,0,0,0
Andrea Anderheggen,Shopgate,0,0,0,0
Shawn Carpenter,RepIQ,0,0,0,0
Emily Greer,Kongregate,0,0,0,0
Jacob Taylor,"Replicat, Inc.",0,0,0,0
John Belizaire,FirstBest,0,0,0,0
Giles Palmer,Brandwatch,0,0,0,0
Rashid Mansoor,Hadean,0,0,0,0
Alexis Prenn,Receipt Bank,0,0,0,0
Ben Bernstein,Twistlock,0,0,0,0
Aaron Schildkrout,HowAboutWe,0,0,0,0
Russell Fradin,Dynamic Signal,0,0,0,0
Ryan Simonetti,Convene,0,0,0,0
Erik Pfannm√∂ller,fredknows.IT,0,0,0,0
Jay Whitehead,LeagueNetwork.com,0,0,0,0
Simon Fabich,MONOQI,0,0,0,0
Jared Schrieber,InfoScout,0,0,0,0
Sachin Kamdar,Parsely,0,0,0,0
Michael Cluzel,Eatigo,0,0,0,0
Uri Alter,Cyvera,0,0,0,0
Guy Miasnik,AtHoc,0,0,0,0
Ernest Loumaye,ObsEva,0,0,0,0
Deepak Agarwal,Choxi,0,0,0,0
Mallik Sundaram,Mitra Biotech,0,0,0,0
David Perry,Gaikai,0,0,0,0
Jean-Daniel Guyot,Trainline France,0,0,0,0
Grant L. Verstandig,Audax Health Solutions,0,0,0,0
Kreg Peeler,SpinGo,0,0,0,0
Anurag Dod,AdIQuity,0,0,0,0
Abdul Naushad,PayCommerce,0,0,0,0
Srikanth Iyer,homelane,0,0,0,0
Saar Yoskovitz,Augury,0,0,0,0
Soujanya Bhumkar,Cooliris,0,0,0,0
Eren Ozagir,Push Doctor,0,0,0,0
Ulrik Bo Larsen,Falcon.io,0,0,0,0
Don Mal,Vena Solutions,0,0,0,0
Nikhil Sethi,Adaptly,0,0,0,0
Alex Edelstein,fr8,0,0,0,0
Seunggeon Lee,Viva Republica,0,0,0,0
Ante Krsnanac,Move24,0,0,0,0
Scott Ingraham,Rent.com,0,0,0,0
Bo Lu,FutureAdvisor,0,0,0,0
Orazio Buzza,Fooda,0,0,0,0
Juan Urdiales,Jobandtalent,0,0,0,0
Rachel Carlson,Guild Education,0,0,0,0
Todd Belveal,Washlava,0,0,0,0
J. Venter,Human Longevity,0,0,0,0
Benjamin Cardoso,LeCab,0,0,0,0
Tomer Levy,Logz.io,0,0,0,0
Nick Francis,Help Scout,0,0,0,0
T.J. Clark,TurnKey Vacation Rentals,0,0,0,0
Alessandro Petazzi,Musement,0,0,0,0
Manu Mathew,Visual IQ,0,0,0,0
Bridget Loudon,Expert360,0,0,0,0
Sergiu Biri»?,Zonga,0,0,0,0
Stephan Uhrenbacher,FLIO,0,0,0,0
Christian Bogatu,Fresh Energy GmbH,0,0,0,0
Jason Flick,You.i,0,0,0,0
Anand Babu Periasamy,"Minio, Inc.",0,0,0,0
Dror Ben-Naim,Smart Sparrow,0,0,0,0
Sascha Konietzke,Contentful,0,0,0,0
Vinicius Vacanti,YipitData,0,0,0,0
Amit Narayan,Autogrid,0,0,0,0
Georg Petschnigg,FiftyThree,0,0,0,0
Jeffrey Marrazzo,Spark Therapeutics,0,0,0,0
Alex Gorelik,Waterline Data,0,0,0,0
Mitch Butler,MyPurpleFolder,0,0,0,0
David Soloff,Premise,0,0,0,0
Tony Zhao,Agora.io,0,0,0,0
Nathan Eagle,Jana,0,0,0,0
Cormac Kinney,Flont.Club,0,0,0,0
Dorian Selz,Squirro,0,0,0,0
Saurabh Saxena,Holachef,0,0,0,0
Brian Schechter,HowAboutWe,0,0,0,0
Saki Dodelson,Achieve3000,0,0,0,0
Vadim Polikov,Direct Energy Solar,0,0,0,0
Michael Topolovac,CRAVE,0,0,0,0
Kumar Mehta,Versa Networks,0,0,0,0
Rami Sass,WhiteSource,0,0,0,0
Abhishek Bansal,Shadowfax Technologies,0,0,0,0
Paulo Veras,99,0,0,0,0
Bram de Zwart,3D Hubs,0,0,0,0
Jay Desai,PatientPing,0,0,0,0
Ethan Song,Frank & Oak,0,0,0,0
Bob Richards,"Moon Express, Inc.",0,0,0,0
Amit Chatterjee,Leap Commerce,0,0,0,0
Andrej Henkler,Leblon Capital,0,0,0,0
Michael Carvin,SmartAsset,0,0,0,0
Guilherme Mynssen,ChefsClub,0,0,0,0
Asaf Somekh,iguazio,0,0,0,0
Ran Sarig,Datorama,0,0,0,0
Ditlev Bredahl,OnApp,0,0,0,0
Wen Chu,GWC,0,0,0,0
Justin Bedecarre,HelloOffice,0,0,0,0
Sam Lee,FleetUp,0,0,0,0
Maaz Sheikh,STARZ PLAY,0,0,0,0
Steven Smith,Finicity,0,0,0,0
Demet Suzan Mutlu,Trendyol Group,0,0,0,0
Gregg Sando,Cell Medica,0,0,0,0
Shaukat Shamim,YouPlus,0,0,0,0
Jason Brown,Tally Technologies,0,0,0,0
Roman Tsunder,PTTOW!,0,0,0,0
Jens Begemann,Wooga,0,0,0,0
Ameesh Paleja,Atom Tickets,0,0,0,0
Mark T. Lynn,DSTLD,0,0,0,0
Chris Giordano,MiMedia,0,0,0,0
Fred Shilmover,InsightSquared,0,0,0,0
Ruslan Zaydullin,DOC+,0,0,0,0
Don Spear,OpenSesame,0,0,0,0
Ross Shanken,Jornaya,0,0,0,0
Tal Weiss,OverOps,0,0,0,0
Eli Singer,Jethro,0,0,0,0
Hugo Fiennes,Electric Imp,0,0,0,0
Martin Floreani,FloSports,0,0,0,0
Rod Johnson,SpringSource,0,0,0,0
Paul Albright,Captora,0,0,0,0
Matthew Bellows,Yesware,0,0,0,0
Matt Zitzmann,Kamcord,0,0,0,0
Ahmed Alkhatib,MarkaVIP,0,0,0,0
Bonnie Crater,Full Circle Insights,0,0,0,0
Phil Harris,Geofeedia,0,0,0,0
Ari Tulla,BetterDoctor,0,0,0,0
Zohar Dayan,Wibbitz,0,0,0,0
Benny De-Kalo,Worthy,0,0,0,0
Greg Moran,ZoomCar,0,0,0,0
Brian Berger,BDB Ventures,0,0,0,0
Konstantin Urban,Windeln.de,0,0,0,0
Asi Sharabi,Wonderbly,0,0,0,0
Michael Huang,Glow,0,0,0,0
Manan Khurma,CueLearn/Cuemath,0,0,0,0
Omer Artun,AgilOne,0,0,0,0
Ben Katz,CARD.com,0,0,0,0
Jeffrey Tiong,Patsnap,0,0,0,0
John Ham,Ustream,0,0,0,0
Arnaud Bertrand,HouseTrip,0,0,0,0
Gil Shoham,Supersonic,0,0,0,0
Rick Orr,Real Savvy,0,0,0,0
Brian NeSmith,Arctic Wolf Networks,0,0,0,0
Nicholas Rellas,Drizly,0,0,0,0
Erik Eliason,storefront,0,0,0,0
Eric Greenberg,Wrap Media,0,0,0,0
Sajith Wickramasekara,Benchling,0,0,0,0
Dan Hu,Omni Prime Inc.,0,0,0,0
Chandran Sankaran,Zyme Solutions,0,0,0,0
Inder Singh,Kinsa,0,0,0,0
Alex Freedland,Mirantis,0,0,0,0
Daniel Hegarty,Habito,0,0,0,0
Jonathan Benhamou,PeopleDoc,0,0,0,0
Sam Chandler,Nitro,0,0,0,0
James Foster,ZeroFOX,0,0,0,0
Gregory Mark,Markforged,0,0,0,0
Frank Bober,Stylesight,0,0,0,0
Russell Quirk,eMoov,0,0,0,0
Mathieu Nouzareth,Boonty,0,0,0,0
Jim Gilliam,NationBuilder,0,0,0,0
Babur Ozden,Maana,0,0,0,0
Jason Oberfest,Mango Health,0,0,0,0
Anton Rummel,Move24,0,0,0,0
Sim Shagaya,Konga Online Shopping Limited,0,0,0,0
Denise Thomas,ApplePie Capital,0,0,0,0
Igal Raichelgauz,Cortica,0,0,0,0
Avner Ronen,Boxee,0,0,0,0
Javier Soltero,Acompli,0,0,0,0
Alberto Sheinfeld,Payfully,0,0,0,0
Olivier Goy,Lendix,0,0,0,0
Tom Allason,Shutl,0,0,0,0
Tony Mamone,Livingly Media,0,0,0,0
Darren Bounds,Breezy HR,0,0,0,0
Jody Glidden,Introhive,0,0,0,0
Ted Sullivan,GameChanger Media,0,0,0,0
Juha Koponen,Swap.com,0,0,0,0
John West,Whistle Sports,0,0,0,0
Henry Shao,"Zippia, Inc.",0,0,0,0
Oren Levy,Zooz,0,0,0,0
Mike Whitmire,FloQast,0,0,0,0
Matiss Ansviesulis,Creamfinance,0,0,0,0
John S. Kim,SendBird,0,0,0,0
Sean Grundy,Bevi,0,0,0,0
Ran Harnevo,Homeis,0,0,0,0
Nessan Bermingham,Intellia Therapeutics,0,0,0,0
Jud Bowman,Appia,0,0,0,0
Seth Lieberman,SnapApp,0,0,0,0
Timothy Chi,WeddingWire,0,0,0,0
Neeraj Jain,Zopper,0,0,0,0
Assaf Resnick,BigPanda,0,0,0,0
Robert Mu√±oz,Typeform,0,0,0,0
Narges Bani Asadi,Bina Technologies,0,0,0,0
Lisa Gersh,Goop Inc.,0,0,0,0
Holger Seim,Blinkist,0,0,0,0
Adam Schoenfeld,Siftrock,0,0,0,0
Scott Crouch,Mark43,0,0,0,0
Brett Schulman,Cava Grill,0,0,0,0
Kyle Ransford,Chef'd,0,0,0,0
Samantha DU,ZAI Lab,0,0,0,0
Toby Olshanetsky,prooV,0,0,0,0
Rishi Israni,Zimplistic,0,0,0,0
Spencer Kimball,Cockroach Labs,0,0,0,0
Rani Wellingstein,Oryx Vision,0,0,0,0
Eldar Tuvey,Wandera,0,0,0,0
Brandon Rodman,Weave,0,0,0,0
Adrien Nussenbaum,Mirakl,0,0,0,0
Nathan Burba,Survios,0,0,0,0
Chet Kanojia,Aereo,0,0,0,0
Geoff Allen,Lookbk,0,0,0,0
Jeff Flowers,SageCloud,0,0,0,0
Scot Chisholm,Classy,0,0,0,0
Damian Kimmelman,DueDil,0,0,0,0
Erik Fairbairn,Pod Point,0,0,0,0
Anil Mathews,Near,0,0,0,0
Alejandro Cosentino,Afluenta,0,0,0,0
Osama Elkady,INCORTA,0,0,0,0
David Ronick,Stash,0,0,0,0
Kevin Lustig,Scientist.com (formerly Assay Depot),0,0,0,0
Zachary Goldstein,Thanx,0,0,0,0
David Sosna,Personetics Technologies,0,0,0,0
Glen Coates,Handshake,0,0,0,0
Samay Kohli,GreyOrange,0,0,0,0
Sampad Swain,Instamojo,0,0,0,0
Tim Weingarten,The Hunt,0,0,0,0
B. Evan Burns,Odyssey,0,0,0,0
Benzi Ronen,Farmigo,0,0,0,0
Jay Radia,Yieldify,0,0,0,0
Rujul Zaparde,FlightCar,0,0,0,0
Aldi Haryopratomo,PT RUMA,0,0,0,0
Reza Mohsin,Speakeasy,0,0,0,0
Brad Jefferson,Animoto,0,0,0,0
George Bousis,Raise Marketplace,0,0,0,0
Liang Lu,5miles,0,0,0,0
Patrick Bosworth,Duetto,0,0,0,0
Javier de la Torre,CARTO,0,0,0,0
Musthafa Pc,iD Fresh Food,0,0,0,0
Aaron Gowell,SilverRail Technologies,0,0,0,0
Blake Hall,ID.me,0,0,0,0
Adam Odessky,Sense.ly,0,0,0,0
Luuc Elzinga,Tiqets,0,0,0,0
Daniela Perdomo,GoTenna,0,0,0,0
I√±igo Juantegui,OnTruck,0,0,0,0
Maxim Lobovsky,Formlabs,0,0,0,0
Jason Liebman,Howcast,0,0,0,0
Simon Davies,Yakatak,0,0,0,0
Gene Wang,People Power,0,0,0,0
Adi Sharabani,Skycure,0,0,0,0
Angelo Sotira,DeviantArt,0,0,0,0
Sidar Sahin,Peak Games,0,0,0,0
Sasan Amini,Clear Labs,0,0,0,0
Rowan Gormley,Naked Wines,0,0,0,0
Mike Hurst,Exactuals,0,0,0,0
